location_key,cell_lat,cell_lon,n_rows,n_districts,first_year,last_year
+00.7750_+034.7750,0.775,34.775,78,2,2016,2020
+00.7750_+034.8250,0.775,34.825,55,5,2016,2020
+00.7750_+034.8750,0.775,34.875,35,3,2016,2020
+00.7750_+034.9250,0.775,34.925,20,2,2016,2020
+00.7750_+034.9750,0.775,34.975,73,1,2016,2020
+00.7750_+035.0250,0.775,35.025,58,1,2016,2020
+00.7750_+035.0750,0.775,35.075,68,2,2016,2020
+00.7750_+035.1250,0.775,35.125,15,1,2016,2018
+00.7750_+035.1750,0.775,35.175,9,1,2017,2020
+00.7750_+035.2250,0.775,35.225,7,1,2017,2020
+00.7750_+035.2750,0.775,35.275,2,1,2020,2020
+00.7750_+035.4750,0.775,35.475,6,1,2020,2020
+00.8250_+034.4250,0.825,34.425,49,1,2016,2020
+00.8250_+034.4750,0.825,34.475,36,1,2016,2020
+00.8250_+034.5250,0.825,34.525,10,1,2019,2019
+00.8250_+034.5750,0.825,34.575,12,2,2016,2020
+00.8250_+034.6250,0.825,34.625,18,1,2016,2020
+00.8250_+034.6750,0.825,34.675,29,2,2016,2019
+00.8250_+034.7250,0.825,34.725,32,2,2016,2020
+00.8250_+034.7750,0.825,34.775,81,3,2016,2020
+00.8250_+034.8250,0.825,34.825,38,3,2016,2020
+00.8250_+034.8750,0.825,34.875,71,3,2016,2020
+00.8250_+034.9250,0.825,34.925,74,1,2016,2020
+00.8250_+034.9750,0.825,34.975,88,2,2016,2020
+00.8250_+035.0250,0.825,35.025,38,2,2016,2020
+00.8250_+035.0750,0.825,35.075,78,1,2016,2020
+00.8250_+035.1250,0.825,35.125,17,1,2016,2020
+00.8250_+035.1750,0.825,35.175,6,1,2020,2020
+00.8250_+035.2750,0.825,35.275,6,1,2020,2020
+00.8750_+034.4750,0.875,34.475,2,1,2019,2019
+00.8750_+034.7250,0.875,34.725,16,2,2016,2020
+00.8750_+034.7750,0.875,34.775,25,2,2016,2019
+00.8750_+034.8250,0.875,34.825,20,2,2016,2020
+00.8750_+034.8750,0.875,34.875,83,4,2016,2020
+00.8750_+034.9250,0.875,34.925,54,4,2016,2020
+00.8750_+034.9750,0.875,34.975,21,1,2016,2020
+00.8750_+035.0250,0.875,35.025,29,2,2016,2020
+00.8750_+035.0750,0.875,35.075,29,2,2016,2020
+00.8750_+035.1250,0.875,35.125,16,2,2017,2020
+00.8750_+035.1750,0.875,35.175,4,2,2016,2020
+00.8750_+035.2250,0.875,35.225,5,1,2020,2020
+00.8750_+035.5250,0.875,35.525,3,1,2020,2020
